plm_style_code,style_description,color_code,colorway_short_description,gmh_sector_text,gmh_gender_text,gmh_category_text,gmh_sub_category_text,gmh_sub_brand_code,gmh_sub_brand_text,company_code,distribution_channel_code,site_number,site_text,netslsamt_cy,netslscstmerch_cy,netslsqty_cy,netmsrpamt_cy,netslsamt_ly,netslscstmerch_ly,netslsqty_ly,netmsrpamt_ly,eohttlqty_cy,eohstrqty_cy,intranqty_cy,eohttlqty_ly,eohstrqty_ly,intranqty_ly
MV-64377,Women Trousers Essential,BEG,Beige,Ready-to-Wear,Women,Bottoms,Trousers,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,20934.43,6701.53,56,27257.82,22441.34,7132.86,61,29691.55,68,43,25,75,52,0
MV-79942,Men Blazers Essential,VRT,Vert,Ready-to-Wear,Men,Outerwear,Blazers,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,4234.53,1217.62,17,6306.84,4086.86,1379.28,16,5935.85,47,36,11,51,30,0
MV-70648,Women Tops,BEG,Beige,Ready-to-Wear,Women,Tops,Tops,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,11220.11,3025.25,29,13450.78,13185.99,4486.85,36,16697.53,113,80,33,129,88,0
MV-86556,Women Evening Dresses Classic,CHP,Champagne,Ready-to-Wear,Women,Dresses,Evening Dresses,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,6738.74,2129.14,13,8329.98,5720.86,1965.17,10,6407.67,32,30,2,25,15,0
MV-47243,Men Boots Heritage,SBL,Sable,Footwear,Men,Heels,Boots,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,15195.38,4197.37,23,19175.22,12274.58,4260.58,18,15006.7,66,49,17,57,51,0
MV-74866,Women Wool Scarves Luxe,BLU,Bleu Marine,Accessories,Women,Scarves,Wool Scarves,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,4071.25,1163.0,9,5616.45,4939.17,1630.18,10,6240.5,30,18,12,40,34,0
MV-99173,Women Card Holders Modern,TAN,Tan,Leather Goods,Women,Small Leather Goods,Card Holders,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,8352.4,2435.32,8,11951.88,7020.14,1946.56,6,8963.91,30,21,9,24,17,0
MV-19862,Men Pumps Slim,TRP,Taupe,Footwear,Men,Heels,Pumps,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,14393.53,5354.33,20,19717.05,11998.64,3403.09,17,16759.49,40,34,6,30,28,0
MV-75308,Men Ballet Flats,GRG,Greige,Footwear,Men,Flats,Ballet Flats,MVS,MV Signature,300,70,EU_F07M,MV Flagship Paris,4526.94,1171.66,15,5711.79,3610.41,1090.71,12,4569.43,32,26,6,29,19,0
MV-20993,Men Wool Scarves Slim,TRP,Taupe,Accessories,Men,Scarves,Wool Scarves,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,7917.32,2013.9,20,11072.47,6963.15,1810.24,19,10518.85,56,33,23,54,53,0
MV-23979,Women Check-In Relaxed,NVY,Navy,Leather Goods,Women,Luggage,Check-In,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,4508.83,1662.21,7,5850.78,3582.58,934.28,6,5014.96,7,5,2,6,5,0
