plm_style_code,style_description,color_code,colorway_short_description,gmh_sector_text,gmh_gender_text,gmh_category_text,gmh_sub_category_text,gmh_sub_brand_code,gmh_sub_brand_text,company_code,distribution_channel_code,site_number,site_text,netslsamt_cy,netslscstmerch_cy,netslsqty_cy,netmsrpamt_cy,netslsamt_ly,netslscstmerch_ly,netslsqty_ly,netmsrpamt_ly,eohttlqty_cy,eohstrqty_cy,intranqty_cy,eohttlqty_ly,eohstrqty_ly,intranqty_ly
MV-43586,Women Jeans Signature,ARG,Argent,Ready-to-Wear,Women,Bottoms,Jeans,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,29083.15,10801.79,61,40644.76,32460.84,9342.85,70,46641.53,162,153,9,217,131,0
MV-56438,Men Boots Essential,ROG,Rouge,Footwear,Men,Heels,Boots,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,7820.97,2029.31,11,10390.19,5402.33,1629.79,8,7556.5,32,26,6,23,19,0
MV-76249,Men Clutches Luxe,CRM,Cognac,Leather Goods,Men,Handbags,Clutches,MV,Maison Voss,200,50,J347,MV Flagship Tokyo,108332.67,32942.63,120,139396.3,113769.74,32929.68,145,168437.19,219,154,65,278,172,0
MV-23434,Women Card Holders,NOI,Noir,Leather Goods,Women,Small Leather Goods,Card Holders,MV,Maison Voss,200,50,J347,MV Flagship Tokyo,54762.42,18355.49,55,69184.6,44070.12,12269.49,46,57863.48,129,84,45,121,119,0
MV-76263,Women High Top Essential,BEG,Beige,Footwear,Women,Sneakers,High Top,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,4444.94,1112.99,10,5792.79,3896.64,988.07,10,5792.79,8,4,4,8,5,0
MV-86484,Men Blazers Essential,ROG,Rouge,Ready-to-Wear,Men,Suits,Blazers,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,102269.05,33657.57,192,133329.65,89951.36,23507.97,162,112496.89,477,306,171,370,303,0
MV-62034,Women Necklaces Luxe,CHP,Champagne,Accessories,Women,Jewelry,Necklaces,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,24402.2,9015.99,42,33057.41,23095.94,7266.49,38,29909.08,112,80,32,114,83,0
MV-22833,Women Midi Dresses Classic,ECR,Ecru,Ready-to-Wear,Women,Dresses,Midi Dresses,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,1193.76,344.79,4,1631.85,594.66,211.69,2,815.92,4,3,1,2,1,0
MV-48177,Women Card Holders Essential,CRM,Cognac,Leather Goods,Women,Small Leather Goods,Card Holders,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,25178.15,8888.9,57,34881.91,34249.34,10149.31,73,44673.33,72,58,14,90,75,0
MV-54942,Men Square Frames Relaxed,CRM,Cognac,Accessories,Men,Sunglasses,Square Frames,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,5182.53,1847.13,17,7430.03,4990.85,1766.38,16,6992.97,56,46,10,51,44,0
MV-84341,Men Sandals Signature,CRM,Cognac,Footwear,Men,Heels,Sandals,MV,Maison Voss,200,50,J347,MV Flagship Tokyo,76483.48,27141.06,95,97753.98,56012.44,14475.56,68,69971.27,72,46,26,48,39,0
MV-54942,Men Square Frames Relaxed,RSE,Rose Poudre,Accessories,Men,Sunglasses,Square Frames,MV,Maison Voss,200,50,J347,MV Flagship Tokyo,42341.93,12577.97,99,52345.0,39322.55,12810.24,102,53931.22,328,323,5,382,336,0
MV-44959,Women Blazers Modern,ANT,Anthracite,Ready-to-Wear,Women,Outerwear,Blazers,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,53732.86,18813.08,226,72395.55,72663.18,23024.9,286,91615.61,685,458,227,732,488,0
MV-12671,Men Ballet Flats Slim,CRM,Cognac,Footwear,Men,Flats,Ballet Flats,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,18911.77,7087.21,40,26078.21,22827.08,6467.36,46,29989.95,115,92,23,131,121,0
MV-33509,Unisex Fedoras Signature,RSE,Rose Poudre,Accessories,Unisex,Hats,Fedoras,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,10611.38,3274.67,35,14265.32,12826.62,3638.21,42,17118.39,128,117,11,182,174,0
MV-44718,Women Day Dresses Slim,ARG,Argent,Ready-to-Wear,Women,Dresses,Day Dresses,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,45577.52,13346.21,82,56737.17,33031.18,12431.78,60,41515.0,134,88,46,116,87,0
MV-11214,Men Coats Heritage,CAM,Camel,Ready-to-Wear,Men,Outerwear,Coats,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,2369.34,804.5,8,3275.85,2285.98,648.26,8,3275.85,11,9,2,10,8,0
MV-21542,Women Clutches Signature,CRM,Cognac,Leather Goods,Women,Handbags,Clutches,MVS,MV Signature,200,70,J347,MV Flagship Tokyo,52207.19,19146.05,46,67761.96,48612.3,15502.21,46,67761.96,73,46,27,87,83,0
MV-80807,Men Ballet Flats Heritage,NOI,Noir,Footwear,Men,Flats,Ballet Flats,MV,Maison Voss,200,70,J347,MV Flagship Tokyo,32767.58,9062.31,46,43932.2,32804.03,11401.99,49,46797.35,139,109,30,120,101,0
MV-69692,Women Suit Sets Essential,ARG,Argent,Ready-to-Wear,Women,Suits,Suit Sets,MVS,MV Signature,200,50,J347,MV Flagship Tokyo,1985.41,526.08,5,2298.15,1563.73,506.46,4,1838.52,19,17,2,20,12,0
MV-20328,Men Clutches,ARG,Argent,Leather Goods,Men,Handbags,Clutches,MVS,MV Signature,200,50,J347,MV Flagship Tokyo,20776.15,7674.58,31,27125.66,19148.25,5953.66,29,25375.62,99,60,39,102,73,0
MV-15958,Men Pumps Heritage,CRM,Creme,Footwear,Men,Heels,Pumps,MVS,MV Signature,200,50,J347,MV Flagship Tokyo,38889.2,12380.41,112,53231.17,31870.46,11962.5,90,42775.05,301,298,3,221,165,0
MV-15513,Unisex Shorts Heritage,TAN,Tan,Ready-to-Wear,Unisex,Bottoms,Shorts,MVS,MV Signature,200,30,J347,MV Flagship Tokyo,49608.64,16000.21,113,65492.02,38841.44,12152.86,99,57377.96,262,169,93,206,180,0
