plm_style_code,style_description,color_code,colorway_short_description,gmh_sector_text,gmh_gender_text,gmh_category_text,gmh_sub_category_text,gmh_sub_brand_code,gmh_sub_brand_text,company_code,distribution_channel_code,site_number,site_text,netslsamt_cy,netslscstmerch_cy,netslsqty_cy,netmsrpamt_cy,netslsamt_ly,netslscstmerch_ly,netslsqty_ly,netmsrpamt_ly,eohttlqty_cy,eohstrqty_cy,intranqty_cy,eohttlqty_ly,eohstrqty_ly,intranqty_ly
MV-59009,Women Earrings Slim,ROG,Rouge,Accessories,Women,Jewelry,Earrings,MVS,MV Signature,200,50,J347,MV Flagship Tokyo,2822.79,946.03,10,4034.96,2971.84,1117.05,10,4034.96,19,11,8,18,11,0
MV-35203,Men Blazers Modern,BEG,Beige,Ready-to-Wear,Men,Outerwear,Blazers,MVS,MV Signature,200,70,J347,MV Flagship Tokyo,4055.27,1146.4,13,4855.6,3005.13,876.93,10,3735.08,33,27,6,31,24,0
MV-13761,Women Evening Dresses Luxe,TAN,Tan,Ready-to-Wear,Women,Dresses,Evening Dresses,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,22517.74,8309.05,41,29669.04,20414.38,6916.91,36,26050.86,163,104,59,147,137,0
MV-78955,Women Pouches Modern,BLU,Bleu Marine,Leather Goods,Women,Small Leather Goods,Pouches,MV,Maison Voss,200,50,J347,MV Flagship Tokyo,2570.1,722.58,8,3719.48,3140.49,1045.23,9,4184.41,8,7,1,10,6,0
MV-54589,Women Carry-On Slim,ARG,Argent,Leather Goods,Women,Luggage,Carry-On,MV,Maison Voss,200,70,J347,MV Flagship Tokyo,44343.79,13809.65,43,57378.05,35678.91,13452.1,34,45368.69,167,157,10,140,130,0
MV-22097,Men Leather Belts Essential,CRM,Creme,Leather Goods,Men,Belts,Leather Belts,MV,Maison Voss,200,50,J347,MV Flagship Tokyo,729.77,198.81,1,924.88,0.0,0.0,0,0.0,3,2,1,2,1,0
MV-69459,Women Rings Signature,GRG,Greige,Accessories,Women,Jewelry,Rings,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,16932.05,4999.8,32,22941.49,19365.72,6463.09,36,25809.17,89,83,6,82,71,0
MV-68929,Women Crossbody Bags Relaxed,ARG,Argent,Leather Goods,Women,Handbags,Crossbody Bags,MV,Maison Voss,200,50,J347,MV Flagship Tokyo,25837.43,8877.47,40,35688.75,31908.81,11686.06,46,41042.07,98,87,11,118,89,0
MV-55830,Women Jeans Heritage,IVR,Ivoire,Ready-to-Wear,Women,Bottoms,Jeans,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,824.46,264.54,4,1025.78,674.76,187.02,3,769.34,10,8,2,10,7,0
MV-98188,Women Knee High Heritage,IVR,Ivoire,Footwear,Women,Boots,Knee High,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,8233.11,2068.89,12,10932.69,9576.13,3284.92,13,11843.75,26,22,4,32,19,0
MV-67104,Men Sandals Essential,CRM,Cognac,Footwear,Men,Heels,Sandals,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,1880.55,513.32,3,2169.72,1312.69,345.06,2,1446.48,7,4,3,7,5,0
MV-21164,Men Shorts Relaxed,CHP,Champagne,Ready-to-Wear,Men,Bottoms,Shorts,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,11775.98,3358.25,26,16434.06,7665.33,2398.41,19,12009.51,79,70,9,49,32,0
MV-68493,Women Chain Belts Relaxed,BRG,Bordeaux,Leather Goods,Women,Belts,Chain Belts,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,12858.77,3817.76,16,16426.62,13930.11,5127.17,17,17453.29,33,23,10,37,33,0
MV-14705,Men Baseball Caps Modern,ROG,Rouge,Accessories,Men,Hats,Baseball Caps,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,4990.21,1893.9,21,7287.97,4773.63,1341.51,21,7287.97,49,34,15,55,36,0
MV-50768,Men Knitwear Modern,TRP,Taupe,Ready-to-Wear,Men,Tops,Knitwear,MVS,MV Signature,200,30,J347,MV Flagship Tokyo,2495.93,944.82,4,2981.29,2571.98,834.15,4,2981.29,2,1,1,2,1,0
MV-14877,Women Necklaces Heritage,GRG,Greige,Accessories,Women,Jewelry,Necklaces,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,2034.34,685.99,5,2624.33,2218.21,614.86,6,3149.2,14,10,4,17,13,0
MV-40005,Men Silk Scarves Classic,ROG,Rouge,Accessories,Men,Scarves,Silk Scarves,MVS,MV Signature,200,50,J347,MV Flagship Tokyo,502.2,141.24,1,662.28,439.63,111.0,1,662.28,1,0,1,1,0,0
MV-33509,Unisex Fedoras Signature,GRG,Greige,Accessories,Unisex,Hats,Fedoras,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,1853.19,471.39,8,2717.94,1802.29,459.23,7,2378.2,27,20,7,27,19,0
MV-12665,Women Suit Trousers Essential,SBL,Sable,Ready-to-Wear,Women,Suits,Suit Trousers,MV,Maison Voss,200,50,J347,MV Flagship Tokyo,12360.58,3464.43,17,17185.45,13414.4,5068.39,19,19207.27,57,38,19,68,44,0
MV-27961,Women Blouses Signature,RSE,Rose Poudre,Ready-to-Wear,Women,Tops,Blouses,MV,Maison Voss,200,70,J347,MV Flagship Tokyo,21152.15,5889.01,41,29829.87,28979.24,8178.24,50,36377.89,103,82,21,111,84,0
MV-98815,Men Check-In,CRM,Creme,Leather Goods,Men,Luggage,Check-In,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,19628.57,6553.99,23,27200.78,18986.89,4898.96,22,26018.14,21,16,5,20,16,0
MV-57942,Women Chelsea Boots Modern,CRM,Creme,Footwear,Women,Boots,Chelsea Boots,MVS,MV Signature,200,70,J347,MV Flagship Tokyo,7344.56,2461.14,12,10266.84,9638.97,3640.34,14,11977.98,46,32,14,45,32,0
