transaction_id,client_id,transaction_date,channel,category,product_name,quantity,unit_price,net_sales_amount,primary_category,secondary_category,favorite_product
TXN-MS-832720,MVC-00001,2025-02-12,Digital,Fragrance,Cobalt Nuit,1,300.67,300.67,Fragrance,Skincare,Empire Homme
TXN-MS-679766,MVC-00001,2024-03-08,Digital,Fragrance,Platine Ardent,2,162.37,324.74,Fragrance,Skincare,Empire Homme
TXN-MS-593289,MVC-00001,2024-10-24,Digital,Fragrance,Éclat de Printemps,1,314.45,314.45,Fragrance,Skincare,Empire Homme
TXN-MS-443596,MVC-00002,2025-03-03,Digital,Makeup,Ombre Royale Eyeshadow,2,82.5,165.0,Fragrance,Makeup,Mademoiselle de Solène
TXN-MS-104463,MVC-00002,2025-10-18,Digital,Makeup,Ombre Royale Eyeshadow,1,110.95,110.95,Fragrance,Makeup,Mademoiselle de Solène
TXN-MS-629813,MVC-00002,2023-11-20,Digital,Fragrance,Éclat d'Aurore,1,206.36,206.36,Fragrance,Makeup,Mademoiselle de Solène
TXN-MS-488646,MVC-00002,2023-09-16,Digital,Fragrance,Solène Nº3,2,171.99,343.98,Fragrance,Makeup,Mademoiselle de Solène
TXN-MS-420768,MVC-00002,2023-03-11,Digital,Fragrance,Solène Nº3,2,169.09,338.18,Fragrance,Makeup,Mademoiselle de Solène
TXN-MS-699780,MVC-00002,2024-06-02,Digital,Fragrance,Empire Homme,1,339.28,339.28,Fragrance,Makeup,Mademoiselle de Solène
TXN-MS-907503,MVC-00003,2025-02-20,Boutique,Fragrance,Solène Nº3 L'Eau,2,189.72,379.44,Fragrance,Body Care,Solène Nº3 L'Eau
TXN-MS-947196,MVC-00003,2025-11-08,Boutique,Fragrance,Éclat d'Aurore,1,246.57,246.57,Fragrance,Body Care,Solène Nº3 L'Eau
TXN-MS-944590,MVC-00003,2024-12-19,Boutique,Fragrance,Éclat d'Aurore,1,120.73,120.73,Fragrance,Body Care,Solène Nº3 L'Eau
TXN-MS-367457,MVC-00003,2025-08-31,Boutique,Fragrance,Mademoiselle de Solène,1,138.26,138.26,Fragrance,Body Care,Solène Nº3 L'Eau
TXN-MS-386088,MVC-00003,2025-02-21,Boutique,Fragrance,Velours Noir,2,323.09,646.18,Fragrance,Body Care,Solène Nº3 L'Eau
TXN-MS-742367,MVC-00004,2025-03-14,Boutique,Skincare,Bouclier Jour SPF50,2,151.79,303.58,Skincare,Hair Care,Renaissance Crème Nº1
TXN-MS-357709,MVC-00005,2023-12-15,Phone,Fragrance,Céleste,1,346.76,346.76,Fragrance,Hair Care,Éclat de Printemps
TXN-MS-680822,MVC-00006,2024-02-01,Boutique,Fragrance,Velours Noir,2,253.83,507.66,Hair Care,Fragrance,Huile de Rose Hair Oil
TXN-MS-462280,MVC-00006,2024-12-21,Boutique,Hair Care,Sérum Cheveux Éclat,1,129.65,129.65,Hair Care,Fragrance,Huile de Rose Hair Oil
TXN-MS-664681,MVC-00006,2024-12-22,Boutique,Hair Care,Masque Nocturne,2,71.04,142.08,Hair Care,Fragrance,Huile de Rose Hair Oil
TXN-MS-615013,MVC-00007,2024-04-30,Boutique,Fragrance,Solène Nº3,1,194.84,194.84,Fragrance,Hair Care,Éclat de Printemps
TXN-MS-344154,MVC-00008,2025-11-28,Boutique,Makeup,Voile Naturel Foundation,2,78.39,156.78,Makeup,Body Care,Ombre Royale Eyeshadow
TXN-MS-495208,MVC-00008,2025-12-10,Boutique,Makeup,Voile Naturel Foundation,1,49.12,49.12,Makeup,Body Care,Ombre Royale Eyeshadow
TXN-MS-318745,MVC-00008,2025-08-21,Boutique,Makeup,Volume Sculpté Mascara,1,72.31,72.31,Makeup,Body Care,Ombre Royale Eyeshadow
TXN-MS-667471,MVC-00008,2025-04-27,Boutique,Makeup,Volume Sculpté Mascara,1,97.98,97.98,Makeup,Body Care,Ombre Royale Eyeshadow
TXN-MS-294091,MVC-00008,2025-06-20,Boutique,Makeup,Voile Naturel Foundation,2,72.67,145.34,Makeup,Body Care,Ombre Royale Eyeshadow
TXN-MS-876997,MVC-00009,2024-01-02,Digital,Skincare,Source Hydra Gel,2,201.25,402.5,Fragrance,Skincare,Solène Nº3
