plm_style_code,style_description,color_code,colorway_short_description,gmh_sector_text,gmh_gender_text,gmh_category_text,gmh_sub_category_text,gmh_sub_brand_code,gmh_sub_brand_text,company_code,distribution_channel_code,site_number,site_text,netslsamt_cy,netslscstmerch_cy,netslsqty_cy,netmsrpamt_cy,netslsamt_ly,netslscstmerch_ly,netslsqty_ly,netmsrpamt_ly,eohttlqty_cy,eohstrqty_cy,intranqty_cy,eohttlqty_ly,eohstrqty_ly,intranqty_ly
MV-23133,Men Trousers Essential,RSE,Rose Poudre,Ready-to-Wear,Men,Bottoms,Trousers,MV,Maison Voss,100,50,A800,MV SOHO New York,108513.37,39862.92,254,136451.63,133082.58,36924.97,284,152567.97,340,204,136,359,253,0
MV-78614,Women Trousers Signature,BRG,Bordeaux,Ready-to-Wear,Women,Bottoms,Trousers,MV,Maison Voss,100,20,A800,MV SOHO New York,220213.5,73127.74,363,277334.87,280966.18,94188.8,468,357555.7,973,808,165,1386,1094,0
MV-55830,Women Jeans Heritage,GRG,Greige,Ready-to-Wear,Women,Bottoms,Jeans,MV,Maison Voss,100,30,A800,MV SOHO New York,39696.9,10267.2,65,56595.72,42333.05,12670.53,69,60078.53,47,40,7,46,40,0
MV-93717,Women Leather Belts Heritage,CAM,Camel,Leather Goods,Women,Belts,Leather Belts,MVS,MV Signature,100,20,A800,MV SOHO New York,215145.84,64915.85,223,276838.01,209696.09,76986.87,232,288010.85,884,845,39,1103,847,0
MV-19862,Men Pumps Slim,ROG,Rouge,Footwear,Men,Heels,Pumps,MV,Maison Voss,100,20,A800,MV SOHO New York,131359.6,39949.86,193,166122.7,182388.38,60394.05,248,213463.37,293,247,46,357,334,0
MV-54589,Women Carry-On Slim,VRT,Vert,Leather Goods,Women,Luggage,Carry-On,MV,Maison Voss,100,50,A800,MV SOHO New York,388275.0,98753.23,407,540646.38,321498.63,85245.37,315,418436.39,483,328,155,394,389,0
MV-21542,Women Clutches Signature,NOI,Noir,Leather Goods,Women,Handbags,Clutches,MVS,MV Signature,100,20,A800,MV SOHO New York,238141.02,80498.97,539,323743.2,322512.86,122452.42,689,413838.71,1301,1227,74,1761,1541,0
MV-82924,Women Low Top Classic,BEG,Beige,Footwear,Women,Sneakers,Low Top,MV,Maison Voss,100,20,A800,MV SOHO New York,1358.62,495.69,2,2015.49,664.55,194.69,1,1007.75,3,2,1,3,2,0
MV-39389,Women Mules Modern,VRT,Vert,Footwear,Women,Heels,Mules,MVS,MV Signature,100,20,A800,MV SOHO New York,99714.01,35205.82,255,138757.82,120288.4,44981.05,315,171406.72,385,243,142,502,342,0
MV-80807,Men Ballet Flats Heritage,VRT,Vert,Footwear,Men,Flats,Ballet Flats,MV,Maison Voss,100,30,A800,MV SOHO New York,7160.96,2548.31,12,8942.09,7994.82,2414.83,13,9687.26,24,14,10,29,28,0
MV-76542,Men Suit Sets Modern,CAM,Camel,Ready-to-Wear,Men,Suits,Suit Sets,MVS,MV Signature,100,20,A800,MV SOHO New York,81247.38,29557.13,181,110531.4,84632.39,21629.46,200,122134.15,530,358,172,529,442,0
MV-51704,Women Fedoras Luxe,CRM,Creme,Accessories,Women,Hats,Fedoras,MV,Maison Voss,100,70,A800,MV SOHO New York,29228.7,10300.32,77,41376.94,33630.81,12029.65,81,43526.39,125,100,25,115,101,0
MV-43491,Women Earrings Heritage,BEG,Beige,Accessories,Women,Jewelry,Earrings,MV,Maison Voss,100,20,A800,MV SOHO New York,32096.43,9560.53,83,39248.52,28436.49,9148.9,81,38302.77,202,167,35,213,172,0
