plm_style_code,style_description,color_code,colorway_short_description,gmh_sector_text,gmh_gender_text,gmh_category_text,gmh_sub_category_text,gmh_sub_brand_code,gmh_sub_brand_text,company_code,distribution_channel_code,site_number,site_text,netslsamt_cy,netslscstmerch_cy,netslsqty_cy,netmsrpamt_cy,netslsamt_ly,netslscstmerch_ly,netslsqty_ly,netmsrpamt_ly,eohttlqty_cy,eohstrqty_cy,intranqty_cy,eohttlqty_ly,eohstrqty_ly,intranqty_ly
MV-80807,Men Ballet Flats Heritage,IVR,Ivoire,Footwear,Men,Flats,Ballet Flats,MV,Maison Voss,200,50,J347,MV Flagship Tokyo,1333.85,502.16,4,1729.26,1697.52,441.65,5,2161.57,5,3,2,7,4,0
MV-92478,Women Blazers Classic,IVR,Ivoire,Ready-to-Wear,Women,Outerwear,Blazers,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,5192.24,1783.14,8,6482.24,5167.03,1663.36,9,7292.52,20,14,6,26,19,0
MV-99353,Women Tote Bags,SBL,Sable,Leather Goods,Women,Handbags,Tote Bags,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,7231.19,2451.96,7,9082.88,6066.01,1807.86,6,7785.33,8,7,1,8,7,0
MV-56438,Men Boots Essential,RSE,Rose Poudre,Footwear,Men,Heels,Boots,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,490.84,147.37,1,634.13,0.0,0.0,0,0.0,1,0,1,0,0,0
MV-69459,Women Rings Signature,ARG,Argent,Accessories,Women,Jewelry,Rings,MV,Maison Voss,200,30,J347,MV Flagship Tokyo,608.11,230.96,1,904.97,596.01,175.37,1,904.97,2,1,1,2,1,0
MV-44099,Women Trousers Essential,VRT,Vert,Ready-to-Wear,Women,Bottoms,Trousers,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,587.4,198.23,1,709.31,636.76,185.16,1,709.31,3,2,1,3,2,0
MV-99173,Women Card Holders Modern,GRG,Greige,Leather Goods,Women,Small Leather Goods,Card Holders,MV,Maison Voss,200,70,J347,MV Flagship Tokyo,963.61,271.85,2,1344.55,499.71,160.32,1,672.27,4,2,2,3,2,0
MV-30866,Women Loafers Modern,BRG,Bordeaux,Footwear,Women,Flats,Loafers,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,747.35,246.88,2,999.74,680.8,220.65,2,999.74,2,1,1,1,0,0
MV-84531,Women Check-In Classic,CAM,Camel,Leather Goods,Women,Luggage,Check-In,MVS,MV Signature,200,70,J347,MV Flagship Tokyo,3962.23,1312.45,5,5066.37,3714.82,1318.85,5,5066.37,2,1,1,2,1,0
MV-49139,Men Wool Scarves Essential,TAN,Tan,Accessories,Men,Scarves,Wool Scarves,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,590.03,187.59,1,787.96,588.13,218.46,1,787.96,2,1,1,1,0,0
MV-92345,Women Leather Belts Modern,TAN,Tan,Leather Goods,Women,Belts,Leather Belts,MVS,MV Signature,200,70,J347,MV Flagship Tokyo,515.22,179.56,1,657.1,0.0,0.0,0,0.0,3,2,1,2,1,0
MV-60432,Women Suit Sets Essential,IVR,Ivoire,Ready-to-Wear,Women,Suits,Suit Sets,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,1150.83,304.11,2,1599.38,533.5,142.9,1,799.69,3,2,1,2,1,0
MV-86483,Women Wallets Luxe,ANT,Anthracite,Leather Goods,Women,Small Leather Goods,Wallets,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,5970.77,2160.18,6,8218.24,5186.53,1744.17,5,6848.53,16,14,2,15,12,0
MV-33509,Unisex Fedoras Signature,IVR,Ivoire,Accessories,Unisex,Hats,Fedoras,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,260.6,92.92,1,358.43,266.49,72.74,1,358.43,2,1,1,2,1,0
MV-51116,Unisex Tops Essential,CAM,Camel,Ready-to-Wear,Unisex,Tops,Tops,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,1269.28,420.24,5,1832.63,1088.28,355.17,4,1466.1,4,3,1,3,2,0
MV-88222,Men Suit Trousers Heritage,CHP,Champagne,Ready-to-Wear,Men,Suits,Suit Trousers,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,489.94,169.23,1,615.9,481.81,127.73,1,615.9,1,0,1,0,0,0
MV-90301,Men High Top,VRT,Vert,Footwear,Men,Sneakers,High Top,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,6461.13,2073.92,11,8671.76,6105.72,2068.32,10,7883.42,25,21,4,28,18,0
