plm_style_code,style_description,color_code,colorway_short_description,gmh_sector_text,gmh_gender_text,gmh_category_text,gmh_sub_category_text,gmh_sub_brand_code,gmh_sub_brand_text,company_code,distribution_channel_code,site_number,site_text,netslsamt_cy,netslscstmerch_cy,netslsqty_cy,netmsrpamt_cy,netslsamt_ly,netslscstmerch_ly,netslsqty_ly,netmsrpamt_ly,eohttlqty_cy,eohstrqty_cy,intranqty_cy,eohttlqty_ly,eohstrqty_ly,intranqty_ly
MV-29080,Men Jackets Relaxed,CRM,Cognac,Ready-to-Wear,Men,Outerwear,Jackets,MV,Maison Voss,100,20,A800,MV SOHO New York,2285.44,580.46,5,3046.48,2032.86,720.39,5,3046.48,10,7,3,12,9,0
MV-19869,Women Wool Scarves Slim,IVR,Ivoire,Accessories,Women,Scarves,Wool Scarves,MVS,MV Signature,100,20,A800,MV SOHO New York,7862.88,2746.66,19,10053.39,11096.83,3291.38,24,12699.02,65,55,10,84,78,0
MV-68929,Women Crossbody Bags Relaxed,BRG,Bordeaux,Leather Goods,Women,Handbags,Crossbody Bags,MV,Maison Voss,100,20,A800,MV SOHO New York,27745.07,8998.09,51,32978.77,35448.33,13168.63,61,39445.2,193,176,17,221,177,0
MV-51704,Women Fedoras Luxe,GRG,Greige,Accessories,Women,Hats,Fedoras,MV,Maison Voss,100,20,A800,MV SOHO New York,11692.05,3838.22,33,16698.85,12696.24,4468.16,36,18216.92,27,23,4,33,27,0
MV-20682,Men Loafers Slim,RSE,Rose Poudre,Footwear,Men,Flats,Loafers,MVS,MV Signature,100,20,A800,MV SOHO New York,25773.33,8464.24,41,34325.75,19207.78,5994.34,32,26790.83,94,59,35,60,52,0
MV-94675,Women Trousers Essential,RSE,Rose Poudre,Ready-to-Wear,Women,Bottoms,Trousers,MVS,MV Signature,100,50,A800,MV SOHO New York,9859.48,2942.76,27,14014.75,7527.41,2697.43,20,10381.3,17,13,4,13,7,0
MV-39102,Men Day Dresses Luxe,CRM,Cognac,Ready-to-Wear,Men,Dresses,Day Dresses,MV,Maison Voss,100,20,A800,MV SOHO New York,17833.5,6160.78,29,22562.67,18503.8,4778.38,34,26452.79,55,53,2,76,58,0
MV-74866,Women Wool Scarves Luxe,CRM,Creme,Accessories,Women,Scarves,Wool Scarves,MV,Maison Voss,100,20,A800,MV SOHO New York,12046.16,3266.73,47,14909.73,13467.87,4347.41,56,17764.78,77,68,9,103,62,0
MV-89299,Men Bracelets Luxe,NVY,Navy,Accessories,Men,Jewelry,Bracelets,MV,Maison Voss,100,20,A800,MV SOHO New York,3079.55,951.09,7,4552.28,3035.79,794.5,7,4552.28,27,16,11,32,26,0
MV-78494,Men Suit Sets Essential,TRP,Taupe,Ready-to-Wear,Men,Suits,Suit Sets,MVS,MV Signature,100,20,A800,MV SOHO New York,3455.5,890.38,16,4758.54,4474.67,1186.24,20,5948.17,28,16,12,30,23,0
MV-69829,Men Ballet Flats Slim,GRG,Greige,Footwear,Men,Flats,Ballet Flats,MV,Maison Voss,100,70,A800,MV SOHO New York,3751.59,1114.8,6,4681.46,2772.35,1034.39,5,3901.21,21,16,5,22,14,0
MV-81364,Unisex Crossbody Bags Signature,CRM,Creme,Leather Goods,Unisex,Handbags,Crossbody Bags,MVS,MV Signature,100,20,A800,MV SOHO New York,36077.34,10221.99,110,49578.85,36492.25,12446.99,97,43719.54,435,276,159,387,353,0
MV-59391,Women Weekender Signature,BEG,Beige,Leather Goods,Women,Luggage,Weekender,MVS,MV Signature,100,50,A800,MV SOHO New York,62820.31,19079.57,72,76668.97,66379.03,21386.88,78,83058.05,89,83,6,90,75,0
MV-20077,Men Chain Belts Slim,RSE,Rose Poudre,Leather Goods,Men,Belts,Chain Belts,MVS,MV Signature,100,70,A800,MV SOHO New York,942.17,298.58,1,1174.05,953.59,255.91,1,1174.05,2,1,1,2,1,0
MV-18163,Men Blazers Slim,NVY,Navy,Ready-to-Wear,Men,Suits,Blazers,MV,Maison Voss,100,20,A800,MV SOHO New York,10554.64,3578.01,30,12860.32,11541.28,2988.43,34,14575.03,108,74,34,145,132,0
MV-28714,Men Trousers Luxe,TRP,Taupe,Ready-to-Wear,Men,Bottoms,Trousers,MV,Maison Voss,100,20,A800,MV SOHO New York,29797.51,9502.19,65,40806.83,22204.3,6721.95,54,33901.06,94,76,18,64,49,0
