plm_style_code,style_description,color_code,colorway_short_description,gmh_sector_text,gmh_gender_text,gmh_category_text,gmh_sub_category_text,gmh_sub_brand_code,gmh_sub_brand_text,company_code,distribution_channel_code,site_number,site_text,netslsamt_cy,netslscstmerch_cy,netslsqty_cy,netmsrpamt_cy,netslsamt_ly,netslscstmerch_ly,netslsqty_ly,netmsrpamt_ly,eohttlqty_cy,eohstrqty_cy,intranqty_cy,eohttlqty_ly,eohstrqty_ly,intranqty_ly
MV-27961,Women Blouses Signature,ROG,Rouge,Ready-to-Wear,Women,Tops,Blouses,MV,Maison Voss,100,20,A800,MV SOHO New York,8845.96,2283.75,20,11913.95,10254.11,3800.45,24,14296.74,46,39,7,55,53,0
MV-95918,Women Suit Sets Modern,ROG,Rouge,Ready-to-Wear,Women,Suits,Suit Sets,MV,Maison Voss,100,20,A800,MV SOHO New York,13035.3,3618.99,19,17860.97,14006.62,4770.54,22,20681.12,22,20,2,23,21,0
MV-20543,Men Check-In Classic,CRM,Creme,Leather Goods,Men,Luggage,Check-In,MVS,MV Signature,100,20,A800,MV SOHO New York,74277.98,25958.52,163,96706.13,94698.7,27991.47,196,116284.67,306,290,16,333,244,0
MV-69048,Women Tops Luxe,CHP,Champagne,Ready-to-Wear,Women,Tops,Tops,MV,Maison Voss,100,50,A800,MV SOHO New York,7193.26,2494.59,19,9617.19,8996.38,2657.11,22,11135.69,65,60,5,69,64,0
MV-90031,Women Loafers Heritage,RSE,Rose Poudre,Footwear,Women,Flats,Loafers,MV,Maison Voss,100,50,A800,MV SOHO New York,12092.92,3719.16,21,17513.35,9412.54,2560.73,16,13343.5,58,47,11,41,38,0
MV-70931,Men Chain Belts Essential,ROG,Rouge,Leather Goods,Men,Belts,Chain Belts,MVS,MV Signature,100,30,A800,MV SOHO New York,52021.17,15987.17,98,66489.41,51322.37,18266.47,105,71238.65,144,136,8,125,123,0
MV-95191,Women Coats Signature,ROG,Rouge,Ready-to-Wear,Women,Outerwear,Coats,MV,Maison Voss,100,20,A800,MV SOHO New York,11931.37,3275.2,41,15155.86,13296.86,4571.59,46,17004.14,37,28,9,40,39,0
MV-94675,Women Trousers Essential,ROG,Rouge,Ready-to-Wear,Women,Bottoms,Trousers,MVS,MV Signature,100,20,A800,MV SOHO New York,64023.63,24059.23,103,92389.79,43960.06,15993.18,73,65480.14,82,49,33,67,46,0
MV-71953,Women Suit Trousers Relaxed,RSE,Rose Poudre,Ready-to-Wear,Women,Suits,Suit Trousers,MVS,MV Signature,100,50,A800,MV SOHO New York,1300.06,363.96,4,1633.61,1310.96,418.57,4,1633.61,10,7,3,10,7,0
MV-47512,Men Tops Relaxed,IVR,Ivoire,Ready-to-Wear,Men,Tops,Tops,MVS,MV Signature,100,20,A800,MV SOHO New York,23846.63,8639.39,46,29357.11,32110.71,11139.97,59,37653.69,62,58,4,94,90,0
MV-96760,Women Blouses Signature,VRT,Vert,Ready-to-Wear,Women,Tops,Blouses,MV,Maison Voss,100,50,A800,MV SOHO New York,939.18,321.32,2,1226.83,491.48,171.29,1,613.41,2,1,1,1,0,0
MV-28714,Men Trousers Luxe,BRG,Bordeaux,Ready-to-Wear,Men,Bottoms,Trousers,MV,Maison Voss,100,30,A800,MV SOHO New York,1621.41,429.59,4,2103.17,1623.1,468.87,4,2103.17,9,7,2,9,7,0
MV-29080,Men Jackets Relaxed,ANT,Anthracite,Ready-to-Wear,Men,Outerwear,Jackets,MV,Maison Voss,100,20,A800,MV SOHO New York,45009.0,12510.03,163,57083.04,51675.81,15078.29,195,68289.52,573,428,145,744,587,0
MV-89299,Men Bracelets Luxe,CRM,Cognac,Accessories,Men,Jewelry,Bracelets,MV,Maison Voss,100,20,A800,MV SOHO New York,3209.51,1088.71,10,4533.85,3990.94,1210.4,12,5440.63,11,8,3,14,13,0
MV-52176,Women Check-In Relaxed,ANT,Anthracite,Leather Goods,Women,Luggage,Check-In,MVS,MV Signature,100,20,A800,MV SOHO New York,48041.92,16258.64,52,56423.46,36216.22,9617.85,39,42317.59,55,37,18,47,35,0
MV-42087,Men Slides Slim,GRG,Greige,Footwear,Men,Flats,Slides,MV,Maison Voss,100,50,A800,MV SOHO New York,19592.63,6396.45,36,24744.89,19913.34,7477.48,35,24057.53,138,88,50,150,102,0
MV-66531,Unisex Key Holders Modern,BLU,Bleu Marine,Leather Goods,Unisex,Small Leather Goods,Key Holders,MVS,MV Signature,100,20,A800,MV SOHO New York,30629.24,7703.93,29,39407.21,28440.17,9249.92,26,35330.6,91,77,14,90,84,0
MV-58434,Women Shoulder Bags Heritage,TRP,Taupe,Leather Goods,Women,Handbags,Shoulder Bags,MV,Maison Voss,100,20,A800,MV SOHO New York,47003.22,13003.35,158,64415.24,35244.98,11275.55,114,46476.82,435,337,98,344,276,0
MV-63843,Women Midi Dresses Essential,VRT,Vert,Ready-to-Wear,Women,Dresses,Midi Dresses,MVS,MV Signature,100,50,A800,MV SOHO New York,292.89,106.2,1,390.84,290.05,97.4,1,390.84,2,1,1,2,1,0
MV-77033,Women Weekender Modern,CAM,Camel,Leather Goods,Women,Luggage,Weekender,MVS,MV Signature,100,20,A800,MV SOHO New York,54368.4,19381.89,75,70987.89,43116.11,12151.48,61,57736.82,211,159,52,205,143,0
MV-94058,Women Chain Belts,NVY,Navy,Leather Goods,Women,Belts,Chain Belts,MVS,MV Signature,100,20,A800,MV SOHO New York,208025.98,78883.48,228,258084.22,234860.58,85850.58,244,276195.4,553,477,76,689,688,0
MV-94058,Women Chain Belts,CRM,Cognac,Leather Goods,Women,Belts,Chain Belts,MVS,MV Signature,100,20,A800,MV SOHO New York,24986.25,7661.85,56,31267.97,28957.99,10419.56,60,33501.39,189,125,64,212,193,0
MV-10336,Men Blazers Heritage,GRG,Greige,Ready-to-Wear,Men,Suits,Blazers,MV,Maison Voss,100,50,A800,MV SOHO New York,51267.36,16803.14,190,69432.56,54596.66,18067.05,206,75279.51,348,239,109,448,416,0
MV-30253,Men Weekender Essential,BRG,Bordeaux,Leather Goods,Men,Luggage,Weekender,MVS,MV Signature,100,70,A800,MV SOHO New York,1804.57,458.03,3,2484.02,1259.11,412.54,2,1656.01,7,6,1,5,4,0
MV-66349,Women Crossbody Bags Modern,CRM,Creme,Leather Goods,Women,Handbags,Crossbody Bags,MV,Maison Voss,100,50,A800,MV SOHO New York,29680.94,9843.22,37,38642.27,25961.18,7696.11,29,30287.18,30,29,1,22,13,0
MV-49139,Men Wool Scarves Essential,CAM,Camel,Accessories,Men,Scarves,Wool Scarves,MV,Maison Voss,100,20,A800,MV SOHO New York,9456.61,2836.85,20,12287.85,10531.74,3341.02,22,13516.64,66,41,25,74,48,0
MV-62034,Women Necklaces Luxe,CRM,Creme,Accessories,Women,Jewelry,Necklaces,MVS,MV Signature,100,30,A800,MV SOHO New York,50394.41,15535.46,90,62443.35,62389.44,23020.38,114,79094.91,158,142,16,200,155,0
MV-69459,Women Rings Signature,VRT,Vert,Accessories,Women,Jewelry,Rings,MV,Maison Voss,100,30,A800,MV SOHO New York,111539.86,32632.58,274,151437.37,96630.13,30768.45,236,130435.11,237,223,14,207,164,0
MV-78955,Women Pouches Modern,VRT,Vert,Leather Goods,Women,Small Leather Goods,Pouches,MV,Maison Voss,100,50,A800,MV SOHO New York,18960.04,7098.06,20,25771.14,16247.49,5127.34,17,21905.47,22,16,6,20,17,0
MV-85156,Women Chain Belts Essential,ROG,Rouge,Leather Goods,Women,Belts,Chain Belts,MV,Maison Voss,100,50,A800,MV SOHO New York,60196.06,22380.4,73,72760.57,69769.65,18566.5,90,89704.82,144,128,16,202,147,0
MV-76263,Women High Top Essential,TAN,Tan,Footwear,Women,Sneakers,High Top,MV,Maison Voss,100,20,A800,MV SOHO New York,7631.07,2663.91,15,10059.27,8810.39,2789.59,16,10729.88,22,19,3,28,26,0
MV-47196,Women Wallets,NOI,Noir,Leather Goods,Women,Small Leather Goods,Wallets,MVS,MV Signature,100,20,A800,MV SOHO New York,22154.0,6495.92,57,28598.0,19934.83,6133.36,53,26591.13,198,165,33,176,160,0
MV-66881,Men Trousers Modern,SBL,Sable,Ready-to-Wear,Men,Bottoms,Trousers,MV,Maison Voss,100,50,A800,MV SOHO New York,24392.42,6294.72,43,30528.17,26984.63,9400.42,52,36917.79,41,27,14,48,35,0
