plm_style_code,style_description,color_code,colorway_short_description,gmh_sector_text,gmh_gender_text,gmh_category_text,gmh_sub_category_text,gmh_sub_brand_code,gmh_sub_brand_text,company_code,distribution_channel_code,site_number,site_text,netslsamt_cy,netslscstmerch_cy,netslsqty_cy,netmsrpamt_cy,netslsamt_ly,netslscstmerch_ly,netslsqty_ly,netmsrpamt_ly,eohttlqty_cy,eohstrqty_cy,intranqty_cy,eohttlqty_ly,eohstrqty_ly,intranqty_ly
MV-67905,Women High Top Luxe,TRP,Taupe,Footwear,Women,Sneakers,High Top,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,3131.45,785.17,7,4285.22,1981.79,624.36,5,3060.87,23,19,4,21,12,0
MV-96870,Women Day Dresses Relaxed,SBL,Sable,Ready-to-Wear,Women,Dresses,Day Dresses,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,2292.86,793.06,6,3077.28,1990.96,602.82,6,3077.28,12,10,2,14,13,0
MV-99181,Women Blazers Modern,BRG,Bordeaux,Ready-to-Wear,Women,Outerwear,Blazers,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,608.93,197.2,1,818.89,590.19,215.5,1,818.89,2,1,1,2,1,0
MV-31632,Women Weekender Luxe,TRP,Taupe,Leather Goods,Women,Luggage,Weekender,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,6140.46,2055.34,14,7413.67,4265.85,1230.93,10,5295.48,13,12,1,8,7,0
MV-67104,Men Sandals Essential,RSE,Rose Poudre,Footwear,Men,Heels,Sandals,MV,Maison Voss,300,30,EU_F07M,MV Flagship Paris,1550.93,587.33,4,1950.05,1398.72,426.95,4,1950.05,14,11,3,17,10,0
MV-79329,Men Suit Trousers Classic,ARG,Argent,Ready-to-Wear,Men,Suits,Suit Trousers,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,413.19,131.65,2,559.66,215.37,55.67,1,279.83,2,1,1,1,0,0
MV-90031,Women Loafers Heritage,IVR,Ivoire,Footwear,Women,Flats,Loafers,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,1661.88,566.8,7,2108.69,1655.73,530.35,7,2108.69,20,15,5,17,10,0
MV-43586,Women Jeans Signature,ROG,Rouge,Ready-to-Wear,Women,Bottoms,Jeans,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,212.64,78.01,1,288.86,200.62,65.1,1,288.86,3,2,1,3,2,0
MV-99224,Men Day Dresses Relaxed,ARG,Argent,Ready-to-Wear,Men,Dresses,Day Dresses,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,2158.41,579.7,6,2918.33,2657.38,960.67,7,3404.72,18,15,3,22,18,0
MV-74038,Women Pouches,TRP,Taupe,Leather Goods,Women,Small Leather Goods,Pouches,MV,Maison Voss,300,70,EU_F07M,MV Flagship Paris,458.41,134.9,1,601.32,0.0,0.0,0,0.0,2,1,1,1,0,0
