transaction_id,client_id,transaction_date,store_code,store_name,category,product_name,quantity,unit_price,net_sales_amount,channel,currency
TXN-MV-816586,MVC-00001,2024-03-30,A800,MV SOHO New York,Handbags,MV Handbags Heritage,1,487.31,473.51,Digital,USD
TXN-MV-922458,MVC-00001,2024-03-30,A800,MV SOHO New York,Handbags,MV Handbags Heritage,1,496.73,551.87,Digital,USD
TXN-MV-476105,MVC-00001,2024-03-30,A800,MV SOHO New York,Handbags,MV Handbags Limited,1,480.12,605.32,Digital,USD
TXN-MV-349136,MVC-00001,2025-04-05,A800,MV SOHO New York,Footwear,MV Footwear Essential,1,423.83,425.53,Digital,USD
TXN-MV-401610,MVC-00001,2025-04-05,A800,MV SOHO New York,Footwear,MV Footwear Classic,1,440.49,377.35,Digital,USD
TXN-MV-926394,MVC-00001,2025-04-05,A800,MV SOHO New York,Footwear,MV Footwear Heritage,1,445.1,338.25,Digital,USD
TXN-MV-879794,MVC-00001,2025-04-05,A800,MV SOHO New York,Footwear,MV Footwear Heritage,1,355.74,433.74,Digital,USD
TXN-MV-891787,MVC-00002,2024-05-06,A800,MV SOHO New York,Accessories,MV Accessories Essential,1,2104.96,2140.31,Digital,USD
TXN-MV-913848,MVC-00002,2024-05-06,A800,MV SOHO New York,Accessories,MV Accessories Signature,1,1947.74,1875.03,Digital,USD
TXN-MV-815819,MVC-00002,2024-05-06,A800,MV SOHO New York,Accessories,MV Accessories Classic,1,1880.98,1872.77,Digital,USD
TXN-MV-683635,MVC-00002,2025-12-18,A800,MV SOHO New York,Handbags,MV Handbags Heritage,1,664.93,766.78,Digital,USD
TXN-MV-367403,MVC-00002,2025-12-18,A800,MV SOHO New York,Handbags,MV Handbags Classic,1,709.92,794.99,Digital,USD
TXN-MV-262325,MVC-00002,2025-12-18,A800,MV SOHO New York,Handbags,MV Handbags Classic,1,670.23,708.14,Digital,USD
TXN-MV-614379,MVC-00002,2023-05-15,A800,MV SOHO New York,Ready-to-Wear,MV Ready-to-Wear Essential,1,1946.25,1671.71,Digital,USD
TXN-MV-842057,MVC-00002,2023-05-15,A800,MV SOHO New York,Ready-to-Wear,MV Ready-to-Wear Heritage,1,1932.01,2180.27,Digital,USD
TXN-MV-645895,MVC-00002,2023-05-15,A800,MV SOHO New York,Ready-to-Wear,MV Ready-to-Wear Classic,1,2082.06,1721.46,Digital,USD
TXN-MV-323717,MVC-00002,2026-02-16,A800,MV SOHO New York,Small Leather Goods,MV Small Leather Goods Heritage,1,1211.18,1196.83,Digital,USD
TXN-MV-889216,MVC-00002,2026-02-16,A800,MV SOHO New York,Small Leather Goods,MV Small Leather Goods Essential,1,1287.51,1465.92,Digital,USD
TXN-MV-773462,MVC-00002,2023-02-18,A800,MV SOHO New York,Handbags,MV Handbags Essential,1,2293.96,1881.4,Digital,USD
TXN-MV-141814,MVC-00002,2023-02-18,A800,MV SOHO New York,Handbags,MV Handbags Heritage,1,1965.49,2219.12,Digital,USD
TXN-MV-125905,MVC-00002,2023-09-20,A800,MV SOHO New York,Small Leather Goods,MV Small Leather Goods Essential,1,1915.97,1681.6,Digital,USD
TXN-MV-941814,MVC-00002,2023-09-20,A800,MV SOHO New York,Small Leather Goods,MV Small Leather Goods Essential,1,1718.61,1508.05,Digital,USD
TXN-MV-783176,MVC-00002,2023-09-20,A800,MV SOHO New York,Small Leather Goods,MV Small Leather Goods Signature,1,1652.96,1528.23,Digital,USD
TXN-MV-757386,MVC-00002,2023-08-15,A800,MV SOHO New York,Handbags,MV Handbags Classic,1,7066.3,8038.3,Digital,USD
TXN-MV-315565,MVC-00002,2024-04-11,A800,MV SOHO New York,Footwear,MV Footwear Essential,1,4993.53,5061.56,Digital,USD
