plm_style_code,style_description,color_code,colorway_short_description,gmh_sector_text,gmh_gender_text,gmh_category_text,gmh_sub_category_text,gmh_sub_brand_code,gmh_sub_brand_text,company_code,distribution_channel_code,site_number,site_text,netslsamt_cy,netslscstmerch_cy,netslsqty_cy,netmsrpamt_cy,netslsamt_ly,netslscstmerch_ly,netslsqty_ly,netmsrpamt_ly,eohttlqty_cy,eohstrqty_cy,intranqty_cy,eohttlqty_ly,eohstrqty_ly,intranqty_ly
MV-27486,Women Mules Classic,ANT,Anthracite,Footwear,Women,Heels,Mules,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,61257.8,15397.88,159,71977.68,79312.32,28993.03,198,89632.58,221,209,12,312,198,0
MV-28714,Men Trousers Luxe,CHP,Champagne,Ready-to-Wear,Men,Bottoms,Trousers,MV,Maison Voss,300,30,EU_F07M,MV Flagship Paris,7587.99,2747.62,31,9388.25,9089.09,3333.36,37,11205.33,122,99,23,166,154,0
MV-85914,Women Wallets,BLU,Bleu Marine,Leather Goods,Women,Small Leather Goods,Wallets,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,126066.61,33760.83,187,168341.05,172678.81,56313.05,235,211551.59,303,193,110,314,300,0
MV-62772,Men Tote Bags Signature,CRM,Cognac,Leather Goods,Men,Handbags,Tote Bags,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,62523.22,18907.8,79,78658.39,62884.53,15745.46,74,73680.01,270,245,25,276,203,0
MV-80236,Women Coats Slim,CRM,Cognac,Ready-to-Wear,Women,Outerwear,Coats,MVS,MV Signature,300,30,EU_F07M,MV Flagship Paris,5030.55,1679.6,11,6524.03,4633.02,1161.73,9,5337.84,29,28,1,28,24,0
MV-96341,Women Card Holders Signature,CAM,Camel,Leather Goods,Women,Small Leather Goods,Card Holders,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,265503.33,90374.1,622,349232.54,232515.98,66293.86,530,297577.57,850,731,119,851,510,0
MV-97782,Women Leather Belts Signature,RSE,Rose Poudre,Leather Goods,Women,Belts,Leather Belts,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,120913.52,45885.49,215,161055.15,117503.83,37318.02,183,137084.15,479,362,117,408,305,0
MV-19862,Men Pumps Slim,GRG,Greige,Footwear,Men,Heels,Pumps,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,257459.58,94161.32,439,329673.47,304838.24,95990.79,559,419789.22,1509,1379,130,2191,1819,0
MV-49363,Unisex Cashmere Scarves,ROG,Rouge,Accessories,Unisex,Scarves,Cashmere Scarves,MVS,MV Signature,300,30,EU_F07M,MV Flagship Paris,147615.49,42401.46,236,187503.7,128764.24,40313.54,196,155723.41,710,544,166,521,431,0
MV-20328,Men Clutches,IVR,Ivoire,Leather Goods,Men,Handbags,Clutches,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,33235.84,10062.85,92,41419.53,25625.68,8401.11,65,29263.8,356,266,90,202,158,0
MV-25043,Men Loafers,CHP,Champagne,Footwear,Men,Flats,Loafers,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,84972.91,24122.89,150,103793.03,61521.21,17221.89,114,78882.7,581,364,217,522,323,0
MV-77033,Women Weekender Modern,BRG,Bordeaux,Leather Goods,Women,Luggage,Weekender,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,165981.86,42283.34,236,246831.97,161409.6,41736.14,231,241602.47,241,205,36,229,207,0
MV-92478,Women Blazers Classic,RSE,Rose Poudre,Ready-to-Wear,Women,Outerwear,Blazers,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,248342.09,82019.22,676,302105.19,285830.29,85631.6,853,381206.7,2124,1803,321,2279,2195,0
MV-60052,Unisex Evening Dresses,RSE,Rose Poudre,Ready-to-Wear,Unisex,Dresses,Evening Dresses,MVS,MV Signature,300,70,EU_F07M,MV Flagship Paris,19504.35,7290.07,61,26662.32,24168.83,7423.64,79,34529.89,45,35,10,65,57,0
MV-15513,Unisex Shorts Heritage,TAN,Tan,Ready-to-Wear,Unisex,Bottoms,Shorts,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,86413.0,31442.7,436,110744.1,84501.28,31595.3,433,109982.1,1031,893,138,1173,1164,0
MV-79924,Unisex Blazers Modern,BRG,Bordeaux,Ready-to-Wear,Unisex,Outerwear,Blazers,MV,Maison Voss,300,70,EU_F07M,MV Flagship Paris,263886.18,96813.95,540,372455.01,251141.56,95332.08,482,332450.58,1033,656,377,785,498,0
MV-56019,Men Shorts Slim,IVR,Ivoire,Ready-to-Wear,Men,Bottoms,Shorts,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,70402.31,18084.94,232,85453.23,58918.39,16724.33,215,79191.57,556,462,94,434,397,0
MV-59015,Unisex Baseball Caps Relaxed,BEG,Beige,Accessories,Unisex,Hats,Baseball Caps,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,162797.77,57144.66,561,195879.8,203255.29,59989.77,703,245460.78,343,221,122,489,305,0
MV-12260,Men Knee High Modern,CRM,Cognac,Footwear,Men,Boots,Knee High,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,80082.18,21270.15,106,100950.3,85062.97,26284.76,124,118092.8,269,261,8,370,224,0
MV-71537,Women Trousers Heritage,CRM,Cognac,Ready-to-Wear,Women,Bottoms,Trousers,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,342476.46,102855.51,641,488920.91,439171.1,135593.71,742,565958.37,1041,761,280,1444,1157,0
MV-22833,Women Midi Dresses Classic,SBL,Sable,Ready-to-Wear,Women,Dresses,Midi Dresses,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,49014.96,13546.32,254,69729.71,54225.04,17693.06,299,82083.39,700,660,40,731,709,0
MV-48504,Women Slides Signature,TAN,Tan,Footwear,Women,Flats,Slides,MVS,MV Signature,300,30,EU_F07M,MV Flagship Paris,6156.32,2220.04,9,7519.88,6110.82,2320.43,10,8355.42,4,3,1,5,3,0
MV-28776,Women Sandals Essential,RSE,Rose Poudre,Footwear,Women,Heels,Sandals,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,203927.91,52003.41,497,278733.98,189884.62,49356.56,508,284903.14,597,587,10,682,599,0
MV-68529,Men Ankle Boots,VRT,Vert,Footwear,Men,Boots,Ankle Boots,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,32478.74,8733.85,138,38831.52,38229.9,13088.52,152,42770.95,529,353,176,654,614,0
MV-20328,Men Clutches,CHP,Champagne,Leather Goods,Men,Handbags,Clutches,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,100589.65,31684.56,129,125402.93,86334.82,23390.34,121,117626.0,140,132,8,149,125,0
MV-76542,Men Suit Sets Modern,SBL,Sable,Ready-to-Wear,Men,Suits,Suit Sets,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,49960.08,17906.36,175,70423.14,61640.78,22290.46,207,83300.52,458,388,70,622,595,0
MV-17592,Men Coats Relaxed,CRM,Creme,Ready-to-Wear,Men,Outerwear,Coats,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,10089.17,3377.22,33,13216.08,9927.51,3511.66,36,14417.54,123,94,29,119,117,0
MV-96761,Men Jackets Essential,GRG,Greige,Ready-to-Wear,Men,Outerwear,Jackets,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,31175.84,9154.55,132,40209.02,35619.32,12402.72,162,49347.43,196,138,58,276,221,0
MV-70258,Men Platform Slim,VRT,Vert,Footwear,Men,Sneakers,Platform,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,242357.69,89539.46,373,330655.25,256239.51,76058.85,407,360795.41,876,628,248,1075,996,0
MV-93283,Unisex Wallets Luxe,RSE,Rose Poudre,Leather Goods,Unisex,Small Leather Goods,Wallets,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,2446.91,803.53,3,3002.55,1501.1,477.47,2,2001.7,1,0,1,0,0,0
MV-21542,Women Clutches Signature,ROG,Rouge,Leather Goods,Women,Handbags,Clutches,MVS,MV Signature,300,30,EU_F07M,MV Flagship Paris,55243.4,20446.83,66,73462.77,45356.48,12639.23,56,62332.05,183,182,1,147,134,0
MV-38760,Unisex Rings Heritage,RSE,Rose Poudre,Accessories,Unisex,Jewelry,Rings,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,639.85,184.92,1,855.03,673.56,219.06,1,855.03,1,0,1,1,0,0
MV-86556,Women Evening Dresses Classic,ECR,Ecru,Ready-to-Wear,Women,Dresses,Evening Dresses,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,38984.5,10677.58,112,48354.82,48204.27,12379.63,138,59580.04,118,84,34,165,100,0
MV-80236,Women Coats Slim,SBL,Sable,Ready-to-Wear,Women,Outerwear,Coats,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,110588.2,31476.84,273,152248.41,83453.1,29526.18,202,112652.67,486,434,52,358,292,0
MV-47880,Women Shorts Relaxed,IVR,Ivoire,Ready-to-Wear,Women,Bottoms,Shorts,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,198113.28,50975.44,336,253992.26,231470.41,82157.76,357,269866.78,901,847,54,837,632,0
MV-84341,Men Sandals Signature,TRP,Taupe,Footwear,Men,Heels,Sandals,MV,Maison Voss,300,70,EU_F07M,MV Flagship Paris,354421.12,94536.85,609,448271.34,440348.83,162618.97,678,499060.71,666,498,168,596,377,0
MV-19869,Women Wool Scarves Slim,TAN,Tan,Accessories,Women,Scarves,Wool Scarves,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,97563.61,35449.38,196,130409.6,65850.57,22302.22,152,101133.97,388,280,108,298,189,0
MV-59308,Men Knitwear Essential,CRM,Creme,Ready-to-Wear,Men,Tops,Knitwear,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,33394.27,12676.95,61,44452.18,41424.38,11026.1,70,51010.7,110,96,14,141,112,0
MV-69692,Women Suit Sets Essential,NVY,Navy,Ready-to-Wear,Women,Suits,Suit Sets,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,122057.01,33590.58,540,152276.73,107250.03,30313.66,440,124077.34,2047,1911,136,1695,1367,0
MV-63225,Unisex Key Holders,RSE,Rose Poudre,Leather Goods,Unisex,Small Leather Goods,Key Holders,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,274904.72,78013.85,313,412360.45,358696.68,129616.01,374,492724.63,1094,963,131,1220,831,0
MV-56346,Women Clutches Essential,SBL,Sable,Leather Goods,Women,Handbags,Clutches,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,64754.43,20825.59,179,86494.04,75330.77,20628.93,212,102439.86,332,252,80,376,295,0
MV-59015,Unisex Baseball Caps Relaxed,NOI,Noir,Accessories,Unisex,Hats,Baseball Caps,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,138861.95,46472.82,249,180558.99,97857.6,28139.38,182,131974.84,352,232,120,249,203,0
MV-28714,Men Trousers Luxe,ROG,Rouge,Ready-to-Wear,Men,Bottoms,Trousers,MV,Maison Voss,300,70,EU_F07M,MV Flagship Paris,212994.85,75972.11,541,301557.02,259157.43,90798.25,679,378479.14,396,390,6,426,372,0
MV-21542,Women Clutches Signature,SBL,Sable,Leather Goods,Women,Handbags,Clutches,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,129773.08,44709.25,261,178199.87,159404.25,42865.77,303,206875.72,377,355,22,431,362,0
