plm_style_code,style_description,color_code,colorway_short_description,gmh_sector_text,gmh_gender_text,gmh_category_text,gmh_sub_category_text,gmh_sub_brand_code,gmh_sub_brand_text,company_code,distribution_channel_code,site_number,site_text,netslsamt_cy,netslscstmerch_cy,netslsqty_cy,netmsrpamt_cy,netslsamt_ly,netslscstmerch_ly,netslsqty_ly,netmsrpamt_ly,eohttlqty_cy,eohstrqty_cy,intranqty_cy,eohttlqty_ly,eohstrqty_ly,intranqty_ly
MV-44687,Men Card Holders Modern,NOI,Noir,Leather Goods,Men,Small Leather Goods,Card Holders,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,3242.75,854.95,7,4626.56,3965.26,1121.08,8,5287.5,19,16,3,20,12,0
MV-44664,Women Shoulder Bags Modern,SBL,Sable,Leather Goods,Women,Handbags,Shoulder Bags,MVS,MV Signature,200,70,J347,MV Flagship Tokyo,41751.09,14510.05,40,52868.1,47915.66,12514.1,44,58154.91,143,112,31,182,128,0
MV-24316,Women Low Top Relaxed,ECR,Ecru,Footwear,Women,Sneakers,Low Top,MV,Maison Voss,200,50,J347,MV Flagship Tokyo,197836.98,50365.21,344,257818.6,129932.19,37566.8,243,182121.86,214,135,79,139,112,0
MV-64524,Women Check-In Modern,GRG,Greige,Leather Goods,Women,Luggage,Check-In,MV,Maison Voss,200,50,J347,MV Flagship Tokyo,238762.36,77929.9,282,322851.57,263667.45,90252.51,337,385819.08,412,316,96,548,486,0
MV-92203,Men Clutches,VRT,Vert,Leather Goods,Men,Handbags,Clutches,MV,Maison Voss,200,30,J347,MV Flagship Tokyo,46871.56,17447.86,83,56045.93,53729.78,19973.96,104,70226.22,191,151,40,213,136,0
MV-69473,Women Chain Belts Heritage,IVR,Ivoire,Leather Goods,Women,Belts,Chain Belts,MVS,MV Signature,200,20,J347,MV Flagship Tokyo,31821.4,8403.1,91,47902.89,31001.92,10948.47,81,42638.84,149,126,23,158,100,0
MV-88222,Men Suit Trousers Heritage,CRM,Cognac,Ready-to-Wear,Men,Suits,Suit Trousers,MV,Maison Voss,200,20,J347,MV Flagship Tokyo,62278.32,15686.07,147,74815.47,72850.15,26350.91,161,81940.76,403,298,105,376,335,0
MV-69829,Men Ballet Flats Slim,TAN,Tan,Footwear,Men,Flats,Ballet Flats,MV,Maison Voss,200,30,J347,MV Flagship Tokyo,529.42,161.96,1,728.18,0.0,0.0,0,0.0,2,1,1,1,0,0
MV-95918,Women Suit Sets Modern,CAM,Camel,Ready-to-Wear,Women,Suits,Suit Sets,MV,Maison Voss,200,70,J347,MV Flagship Tokyo,18769.76,6728.91,53,26654.98,24580.44,8577.29,66,33193.0,32,28,4,38,33,0
MV-96275,Women Coats Essential,ANT,Anthracite,Ready-to-Wear,Women,Outerwear,Coats,MV,Maison Voss,200,50,J347,MV Flagship Tokyo,26206.44,8180.66,45,38314.85,33454.51,9315.19,52,44274.94,140,109,31,153,149,0
MV-98188,Women Knee High Heritage,SBL,Sable,Footwear,Women,Boots,Knee High,MV,Maison Voss,200,50,J347,MV Flagship Tokyo,43990.61,13339.7,55,62037.8,37132.43,9405.58,45,50758.2,71,66,5,62,45,0
MV-73242,Men Chain Belts Luxe,ANT,Anthracite,Leather Goods,Men,Belts,Chain Belts,MV,Maison Voss,200,50,J347,MV Flagship Tokyo,115536.64,33520.69,317,166629.2,83072.26,30420.36,230,120898.16,848,748,100,560,500,0
