plm_style_code,style_description,color_code,colorway_short_description,gmh_sector_text,gmh_gender_text,gmh_category_text,gmh_sub_category_text,gmh_sub_brand_code,gmh_sub_brand_text,company_code,distribution_channel_code,site_number,site_text,netslsamt_cy,netslscstmerch_cy,netslsqty_cy,netmsrpamt_cy,netslsamt_ly,netslscstmerch_ly,netslsqty_ly,netmsrpamt_ly,eohttlqty_cy,eohstrqty_cy,intranqty_cy,eohttlqty_ly,eohstrqty_ly,intranqty_ly
MV-69459,Women Rings Signature,BRG,Bordeaux,Accessories,Women,Jewelry,Rings,MV,Maison Voss,100,20,A800,MV SOHO New York,892.76,304.5,2,1201.51,776.38,289.73,2,1201.51,4,3,1,3,2,0
MV-30253,Men Weekender Essential,ANT,Anthracite,Leather Goods,Men,Luggage,Weekender,MVS,MV Signature,100,20,A800,MV SOHO New York,7790.42,2431.69,18,9327.62,5035.01,1475.89,13,6736.61,47,43,4,32,21,0
MV-84531,Women Check-In Classic,ECR,Ecru,Leather Goods,Women,Luggage,Check-In,MVS,MV Signature,100,20,A800,MV SOHO New York,2732.56,812.76,7,3912.72,2041.53,529.63,5,2794.8,20,17,3,16,11,0
MV-51116,Unisex Tops Essential,ECR,Ecru,Ready-to-Wear,Unisex,Tops,Tops,MV,Maison Voss,100,20,A800,MV SOHO New York,1353.36,368.99,5,1859.36,1332.36,500.88,5,1859.36,14,13,1,18,12,0
MV-31798,Women Shoulder Bags Essential,CRM,Cognac,Leather Goods,Women,Handbags,Shoulder Bags,MV,Maison Voss,100,50,A800,MV SOHO New York,571.67,195.09,1,817.24,0.0,0.0,0,0.0,3,2,1,2,1,0
MV-71057,Women Boots,ECR,Ecru,Footwear,Women,Heels,Boots,MVS,MV Signature,100,70,A800,MV SOHO New York,831.3,288.37,1,999.81,739.27,207.69,1,999.81,3,2,1,3,1,0
MV-54089,Unisex Blazers,ECR,Ecru,Ready-to-Wear,Unisex,Outerwear,Blazers,MVS,MV Signature,100,20,A800,MV SOHO New York,305.0,76.3,1,394.63,0.0,0.0,0,0.0,3,2,1,2,1,0
MV-78146,Men Day Dresses,IVR,Ivoire,Ready-to-Wear,Men,Dresses,Day Dresses,MV,Maison Voss,100,20,A800,MV SOHO New York,4446.52,1242.03,12,6208.69,5413.29,1670.91,14,7243.48,39,23,16,36,25,0
MV-81364,Unisex Crossbody Bags Signature,GRG,Greige,Leather Goods,Unisex,Handbags,Crossbody Bags,MVS,MV Signature,100,20,A800,MV SOHO New York,2130.4,558.39,5,2743.54,2289.26,749.1,5,2743.54,13,10,3,12,11,0
MV-19862,Men Pumps Slim,BRG,Bordeaux,Footwear,Men,Heels,Pumps,MV,Maison Voss,100,30,A800,MV SOHO New York,3493.88,1125.15,7,4047.43,2807.25,1039.59,6,3469.23,16,13,3,13,8,0
MV-69446,Unisex Evening Dresses Modern,IVR,Ivoire,Ready-to-Wear,Unisex,Dresses,Evening Dresses,MV,Maison Voss,100,30,A800,MV SOHO New York,595.58,200.15,1,742.95,0.0,0.0,0,0.0,1,0,1,0,0,0
MV-14852,Men Loafers Slim,NVY,Navy,Footwear,Men,Flats,Loafers,MV,Maison Voss,100,20,A800,MV SOHO New York,6228.0,2076.68,21,8365.32,5437.93,1633.44,20,7966.98,37,27,10,31,19,0
