plm_style_code,style_description,color_code,colorway_short_description,gmh_sector_text,gmh_gender_text,gmh_category_text,gmh_sub_category_text,gmh_sub_brand_code,gmh_sub_brand_text,company_code,distribution_channel_code,site_number,site_text,netslsamt_cy,netslscstmerch_cy,netslsqty_cy,netmsrpamt_cy,netslsamt_ly,netslscstmerch_ly,netslsqty_ly,netmsrpamt_ly,eohttlqty_cy,eohstrqty_cy,intranqty_cy,eohttlqty_ly,eohstrqty_ly,intranqty_ly
MV-59308,Men Knitwear Essential,CRM,Creme,Ready-to-Wear,Men,Tops,Knitwear,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,10676.57,3042.61,29,15016.29,8962.95,3329.0,23,11909.47,65,53,12,46,44,0
MV-26505,Men Leather Belts Relaxed,BEG,Beige,Leather Goods,Men,Belts,Leather Belts,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,24109.55,7430.74,25,32619.86,17732.89,5154.83,19,24791.1,70,63,7,52,35,0
MV-65444,Women Berets,NVY,Navy,Accessories,Women,Hats,Berets,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,7342.34,2544.6,12,9066.97,6494.29,2312.35,12,9066.97,17,12,5,19,18,0
MV-26683,Women Blazers Relaxed,TRP,Taupe,Ready-to-Wear,Women,Outerwear,Blazers,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,38039.39,14112.93,59,50561.28,25993.24,7685.92,45,38563.69,228,145,83,189,131,0
MV-78614,Women Trousers Signature,ANT,Anthracite,Ready-to-Wear,Women,Bottoms,Trousers,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,23837.61,8976.66,41,34147.47,28760.97,9769.94,52,43308.98,158,126,32,230,148,0
MV-54725,Women Suit Trousers Classic,ARG,Argent,Ready-to-Wear,Women,Suits,Suit Trousers,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,65963.13,17672.8,127,90749.32,55538.96,19985.62,100,71456.16,258,178,80,214,164,0
MV-71669,Men Silk Scarves,TRP,Taupe,Accessories,Men,Scarves,Silk Scarves,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,867.85,238.8,2,1069.92,815.62,272.93,2,1069.92,4,3,1,4,3,0
MV-98188,Women Knee High Heritage,ARG,Argent,Footwear,Women,Boots,Knee High,MV,Maison Voss,300,70,EU_F07M,MV Flagship Paris,26705.11,7506.41,65,31129.8,35010.82,11200.5,81,38792.51,76,61,15,102,84,0
MV-82512,Women Shorts Heritage,NVY,Navy,Ready-to-Wear,Women,Bottoms,Shorts,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,61677.37,17707.85,91,74180.81,60156.69,21964.41,88,71735.29,245,205,40,220,198,0
MV-81364,Unisex Crossbody Bags Signature,ECR,Ecru,Leather Goods,Unisex,Handbags,Crossbody Bags,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,54272.39,14047.16,90,75994.16,69663.96,22815.8,113,95414.88,68,44,24,101,83,0
MV-87993,Women Fedoras Modern,VRT,Vert,Accessories,Women,Hats,Fedoras,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,25678.18,6831.62,137,34604.32,23499.13,6892.54,126,31825.87,142,111,31,119,72,0
MV-23579,Men Cat Eye,GRG,Greige,Accessories,Men,Sunglasses,Cat Eye,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,38315.15,13170.06,82,57429.93,35079.7,11109.87,69,48325.19,94,72,22,87,84,0
MV-52176,Women Check-In Relaxed,ARG,Argent,Leather Goods,Women,Luggage,Check-In,MVS,MV Signature,300,30,EU_F07M,MV Flagship Paris,120565.58,39322.86,166,174989.18,143811.67,42960.16,187,197126.36,110,101,9,124,98,0
MV-47243,Men Boots Heritage,ROG,Rouge,Footwear,Men,Heels,Boots,MV,Maison Voss,300,70,EU_F07M,MV Flagship Paris,6126.94,2245.12,25,7789.62,8193.92,2152.05,31,9659.13,60,47,13,84,61,0
MV-80143,Men Knitwear Classic,CRM,Cognac,Ready-to-Wear,Men,Tops,Knitwear,MVS,MV Signature,300,30,EU_F07M,MV Flagship Paris,23365.61,6867.44,44,28833.4,21689.06,6505.52,39,25556.88,27,17,10,20,19,0
MV-46559,Men Ballet Flats Luxe,GRG,Greige,Footwear,Men,Flats,Ballet Flats,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,394.95,114.91,1,564.02,363.86,132.45,1,564.02,0,0,0,0,0,0
MV-66881,Men Trousers Modern,BEG,Beige,Ready-to-Wear,Men,Bottoms,Trousers,MV,Maison Voss,300,70,EU_F07M,MV Flagship Paris,607.31,154.55,1,803.1,567.37,143.13,1,803.1,3,2,1,3,2,0
MV-74866,Women Wool Scarves Luxe,BRG,Bordeaux,Accessories,Women,Scarves,Wool Scarves,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,8855.44,2574.29,17,11371.63,8608.32,2196.56,17,11371.63,52,42,10,44,34,0
MV-94058,Women Chain Belts,BRG,Bordeaux,Leather Goods,Women,Belts,Chain Belts,MVS,MV Signature,300,30,EU_F07M,MV Flagship Paris,2135.14,750.74,6,2848.04,1727.59,474.07,5,2373.37,3,2,1,3,2,0
MV-20745,Unisex Mini Bags Essential,NOI,Noir,Leather Goods,Unisex,Handbags,Mini Bags,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,18203.38,6528.38,19,24502.61,14018.93,4601.06,15,19344.16,23,22,1,21,16,0
MV-65296,Women Ankle Boots Slim,TAN,Tan,Footwear,Women,Boots,Ankle Boots,MV,Maison Voss,300,30,EU_F07M,MV Flagship Paris,4492.2,1344.24,12,5899.23,4150.71,1430.85,12,5899.23,47,29,18,39,28,0
MV-22097,Men Leather Belts Essential,ANT,Anthracite,Leather Goods,Men,Belts,Leather Belts,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,919.24,329.45,1,1229.97,0.0,0.0,0,0.0,1,0,1,1,0,0
MV-30866,Women Loafers Modern,CAM,Camel,Footwear,Women,Flats,Loafers,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,47103.59,15178.92,152,61407.97,61126.88,18852.25,172,69487.97,562,556,6,732,722,0
MV-44959,Women Blazers Modern,NVY,Navy,Ready-to-Wear,Women,Outerwear,Blazers,MVS,MV Signature,300,30,EU_F07M,MV Flagship Paris,560.55,163.36,1,779.77,613.16,166.55,1,779.77,1,0,1,0,0,0
